stock_code,stock_name_gogoal,gogoal_close,gogoal_lclose,nas_close,relative_deviation,close_price,build_date,import_time
600028.SH,中国石化,4.97,4.99,4.97,0.0,4.97,20260616,20260617-1703
600030.SH,中信证券,27.25,26.86,27.25,0.0,27.25,20260616,20260617-1703
600031.SH,三一重工,18.65,19.19,18.65,0.0,18.65,20260616,20260617-1703
600036.SH,招商银行,38.57,38.95,38.57,0.0,38.57,20260616,20260617-1703
600050.SH,中国联通,4.37,4.4,4.37,0.0,4.37,20260616,20260617-1703
600104.SH,上汽集团,10.65,10.79,10.65,0.0,10.65,20260616,20260617-1703
600111.SH,北方稀土,51.98,50.47,51.98,0.0,51.98,20260616,20260617-1703
600150.SH,中国船舶,35.99,35.91,35.99,0.0,35.99,20260616,20260617-1703
600276.SH,恒瑞医药,47.35,47.88,47.35,0.0,47.35,20260616,20260617-1703
600309.SH,万华化学,70.07,73.5,70.07,0.0,70.07,20260616,20260617-1703
600406.SH,国电南瑞,23.54,23.46,23.54,0.0,23.54,20260616,20260617-1703
600519.SH,贵州茅台,1255.67,1271.1,1255.67,0.0,1255.67,20260616,20260617-1703
600690.SH,海尔智家,20.72,20.97,20.72,0.0,20.72,20260616,20260617-1703
600760.SH,中航沈飞,42.48,43.28,42.48,0.0,42.48,20260616,20260617-1703
600809.SH,山西汾酒,117.35,119.28,117.35,0.0,117.35,20260616,20260617-1703
600887.SH,伊利股份,24.8,25.41,24.8,0.0,24.8,20260616,20260617-1703
600900.SH,长江电力,27.19,27.57,27.19,0.0,27.19,20260616,20260617-1703
600930.SH,华电新能,5.69,5.8,5.69,0.0,5.69,20260616,20260617-1703
601012.SH,隆基绿能,13.3,13.38,13.3,0.0,13.3,20260616,20260617-1703
601088.SH,中国神华,42.52,43.39,42.52,0.0,42.52,20260616,20260617-1703
601127.SH,赛力斯,68.78,68.2,68.78,0.0,68.78,20260616,20260617-1703
601166.SH,兴业银行,18.07,18.23,18.07,0.0,18.07,20260616,20260617-1703
601211.SH,国泰海通,17.79,17.49,17.79,0.0,17.79,20260616,20260617-1703
601225.SH,陕西煤业,24.4,25.26,24.4,0.0,24.4,20260616,20260617-1703
601288.SH,农业银行,6.61,6.68,6.61,0.0,6.61,20260616,20260617-1703
601318.SH,中国平安,52.99,54.23,52.99,0.0,52.99,20260616,20260617-1703
601328.SH,交通银行,6.95,7.01,6.95,0.0,6.95,20260616,20260617-1703
601398.SH,工商银行,7.42,7.57,7.42,0.0,7.42,20260616,20260617-1703
601601.SH,中国太保,32.5,33.25,32.5,0.0,32.5,20260616,20260617-1703
601628.SH,中国人寿,36.06,36.53,36.06,0.0,36.06,20260616,20260617-1703
601658.SH,邮储银行,5.04,5.11,5.04,0.0,5.04,20260616,20260617-1703
601668.SH,中国建筑,4.71,4.75,4.71,0.0,4.71,20260616,20260617-1703
601728.SH,中国电信,5.96,6.05,5.96,0.0,5.96,20260616,20260617-1703
601816.SH,京沪高铁,4.75,4.87,4.75,0.0,4.75,20260616,20260617-1703
601857.SH,中国石油,9.95,10.13,9.95,0.0,9.95,20260616,20260617-1703
601888.SH,中国中免,58.4,59.08,58.4,0.0,58.4,20260616,20260617-1703
601899.SH,紫金矿业,30.29,31.31,30.29,0.0,30.29,20260616,20260617-1703
601919.SH,中远海控,14.24,14.49,14.24,0.0,14.24,20260616,20260617-1703
601985.SH,中国核电,9.23,9.25,9.23,0.0,9.23,20260616,20260617-1703
601988.SH,中国银行,6.04,6.13,6.04,0.0,6.04,20260616,20260617-1703
603019.SH,中科曙光,84.47,85.45,84.47,0.0,84.47,20260616,20260617-1703
603259.SH,药明康德,98.16,99.37,98.16,0.0,98.16,20260616,20260617-1703
603501.SH,豪威集团,88.2,88.72,88.2,0.0,88.2,20260616,20260617-1703
603993.SH,洛阳钼业,20.03,20.92,20.03,0.0,20.03,20260616,20260617-1703
688008.SH,澜起科技,244.17,240.1,244.17,0.0,244.17,20260616,20260617-1703
688012.SH,中微公司,319.0,319.98,319.0,0.0,319.0,20260616,20260617-1703
688041.SH,海光信息,294.31,299.32,294.31,0.0,294.31,20260616,20260617-1703
688111.SH,金山办公,214.3,218.01,214.3,0.0,214.3,20260616,20260617-1703
688256.SH,寒武纪,1306.99,1335.0,1306.99,0.0,1306.99,20260616,20260617-1703
688981.SH,中芯国际,130.14,130.52,130.14,0.0,130.14,20260616,20260617-1703
