etf_code,etf_name,公告日期,证券代码,证券简称,股票数量_股,现金替代标志,现金替代标志_原始,申购现金替代溢价比率,赎回现金替代折价比率,替代金额_元,挂牌市场,挂牌市场_代码
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000001,平安银行,1500,允许,1,10%,10%,        16170.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000002,万科A,1100,允许,1,10%,10%,         3399.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000063,中兴通讯,500,允许,1,10%,10%,        18820.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000100,TCL科技,3300,允许,1,10%,10%,        16896.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000157,中联重科,800,允许,1,10%,10%,         6104.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000166,申万宏源,1400,允许,1,10%,10%,         6398.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000301,东方盛虹,400,允许,1,10%,10%,         4908.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000333,美的集团,800,允许,1,10%,10%,        63376.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000338,潍柴动力,900,允许,1,10%,10%,        26352.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000408,藏格矿业,100,允许,1,10%,10%,         7718.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000425,徐工机械,1300,允许,1,10%,10%,        12025.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000538,云南白药,100,允许,1,10%,10%,         4891.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000568,泸州老窖,100,允许,1,10%,10%,         8294.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000596,古井贡酒,0,必须,2,-,-,            0.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000617,中油资本,400,允许,1,10%,10%,         2944.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000625,长安汽车,800,允许,1,10%,10%,         5912.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000630,铜陵有色,1300,允许,1,10%,10%,         9828.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000651,格力电器,700,允许,1,10%,10%,        26005.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000657,中钨高新,100,允许,1,10%,10%,         8953.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000708,中信特钢,200,允许,1,10%,10%,         2722.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000725,京东方A,5800,允许,1,10%,10%,        38570.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000768,中航西飞,200,允许,1,10%,10%,         4258.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000776,广发证券,500,允许,1,10%,10%,        10710.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000792,盐湖股份,500,允许,1,10%,10%,        15435.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000807,云铝股份,300,允许,1,10%,10%,         7500.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000858,五 粮 液,300,允许,1,10%,10%,        23247.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000895,双汇发展,200,允许,1,10%,10%,         4610.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000938,紫光股份,400,允许,1,10%,10%,        10884.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000963,华东医药,100,允许,1,10%,10%,         2770.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000975,山金国际,300,允许,1,10%,10%,         6564.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000977,浪潮信息,200,允许,1,10%,10%,        12900.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000988,华工科技,200,允许,1,10%,10%,        34102.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,000999,华润三九,100,允许,1,10%,10%,         2379.000,深圳证券交易所,102
510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,2026-06-18,001280,中国铀业,0,必须,2,-,-,            0.000,深圳证券交易所,102
