stock_code,stock_name,projected_weight_pct,closeweight_data_date,import_time
000001.SZ,平安银行,0.386,2026-06-15,20260701-0918
000002.SZ,万科A,0.077,2026-06-15,20260701-0918
000063.SZ,中兴通讯,0.432,2026-06-15,20260701-0918
000100.SZ,TCL科技,0.346,2026-06-15,20260701-0918
000157.SZ,中联重科,0.136,2026-06-15,20260701-0918
000166.SZ,申万宏源,0.149,2026-06-15,20260701-0918
000301.SZ,东方盛虹,0.121,2026-06-15,20260701-0918
000333.SZ,美的集团,1.417,2026-06-15,20260701-0918
000338.SZ,潍柴动力,0.569,2026-06-15,20260701-0918
000408.SZ,藏格矿业,0.231,2026-06-15,20260701-0918
000425.SZ,徐工机械,0.274,2026-06-15,20260701-0918
000538.SZ,云南白药,0.161,2026-06-15,20260701-0918
000568.SZ,泸州老窖,0.224,2026-06-15,20260701-0918
000596.SZ,古井贡酒,0.051,2026-06-15,20260701-0918
000617.SZ,中油资本,0.067,2026-06-15,20260701-0918
000625.SZ,长安汽车,0.137,2026-06-15,20260701-0918
000630.SZ,铜陵有色,0.222,2026-06-15,20260701-0918
000651.SZ,格力电器,0.611,2026-06-15,20260701-0918
000657.SZ,中钨高新,0.285,2026-06-15,20260701-0918
000708.SZ,中信特钢,0.051,2026-06-15,20260701-0918
000725.SZ,京东方A,0.775,2026-06-15,20260701-0918
000768.SZ,中航西飞,0.108,2026-06-15,20260701-0918
000776.SZ,广发证券,0.221,2026-06-15,20260701-0918
000792.SZ,盐湖股份,0.366,2026-06-15,20260701-0918
000807.SZ,云铝股份,0.201,2026-06-15,20260701-0918
000858.SZ,五 粮 液,0.556,2026-06-15,20260701-0918
000895.SZ,双汇发展,0.09,2026-06-15,20260701-0918
000938.SZ,紫光股份,0.218,2026-06-15,20260701-0918
000963.SZ,华东医药,0.092,2026-06-15,20260701-0918
000975.SZ,山金国际,0.133,2026-06-15,20260701-0918
000977.SZ,浪潮信息,0.233,2026-06-15,20260701-0918
000988.SZ,华工科技,0.583,2026-06-15,20260701-0918
000999.SZ,华润三九,0.059,2026-06-15,20260701-0918
001280.SZ,中国铀业,0.043,2026-06-15,20260701-0918
001391.SZ,国货航,0.025,2026-06-15,20260701-0918
001965.SZ,招商公路,0.069,2026-06-15,20260701-0918
001979.SZ,招商蛇口,0.104,2026-06-15,20260701-0918
002001.SZ,新和成,0.167,2026-06-15,20260701-0918
002027.SZ,分众传媒,0.195,2026-06-15,20260701-0918
002028.SZ,思源电气,0.399,2026-06-15,20260701-0918
002049.SZ,紫光国微,0.183,2026-06-15,20260701-0918
002050.SZ,三花智控,0.369,2026-06-15,20260701-0918
002074.SZ,国轩高科,0.114,2026-06-15,20260701-0918
002142.SZ,宁波银行,0.382,2026-06-15,20260701-0918
002179.SZ,中航光电,0.175,2026-06-15,20260701-0918
002202.SZ,金风科技,0.212,2026-06-15,20260701-0918
002230.SZ,科大讯飞,0.287,2026-06-15,20260701-0918
002236.SZ,大华股份,0.114,2026-06-15,20260701-0918
002241.SZ,歌尔股份,0.211,2026-06-15,20260701-0918
002304.SZ,洋河股份,0.093,2026-06-15,20260701-0918
002311.SZ,海大集团,0.131,2026-06-15,20260701-0918
002352.SZ,顺丰控股,0.29,2026-06-15,20260701-0918
002353.SZ,杰瑞股份,0.342,2026-06-15,20260701-0918
002371.SZ,北方华创,1.063,2026-06-15,20260701-0918
002384.SZ,东山精密,1.105,2026-06-15,20260701-0918
002415.SZ,海康威视,0.405,2026-06-15,20260701-0918
002422.SZ,科伦药业,0.146,2026-06-15,20260701-0918
002460.SZ,赣锋锂业,0.29,2026-06-15,20260701-0918
002463.SZ,沪电股份,0.649,2026-06-15,20260701-0918
002466.SZ,天齐锂业,0.237,2026-06-15,20260701-0918
002475.SZ,立讯精密,1.251,2026-06-15,20260701-0918
002493.SZ,荣盛石化,0.129,2026-06-15,20260701-0918
002532.SZ,天山铝业,0.158,2026-06-15,20260701-0918
002558.SZ,巨人网络,0.116,2026-06-15,20260701-0918
002594.SZ,比亚迪,0.888,2026-06-15,20260701-0918
002600.SZ,领益智造,0.198,2026-06-15,20260701-0918
002602.SZ,世纪华通,0.296,2026-06-15,20260701-0918
002625.SZ,光启技术,0.238,2026-06-15,20260701-0918
002648.SZ,卫星化学,0.141,2026-06-15,20260701-0918
002709.SZ,天赐材料,0.252,2026-06-15,20260701-0918
002714.SZ,牧原股份,0.347,2026-06-15,20260701-0918
002736.SZ,国信证券,0.115,2026-06-15,20260701-0918
002837.SZ,英维克,0.194,2026-06-15,20260701-0918
002916.SZ,深南电路,0.392,2026-06-15,20260701-0918
002920.SZ,德赛西威,0.096,2026-06-15,20260701-0918
002938.SZ,鹏鼎控股,0.262,2026-06-15,20260701-0918
